text	label
A collection of Deleted scenes and alternative takes, edited together and with added voice-over to make it appear to take place after the events of the first. Pretty cool idea, but deleted scenes are left on the cutting room floor for a reason and this is further proof. As it's just not as funny as "Anchorman", and really let's face it THAT film wasn't exactly comedy gold either, so you get a 'movie' worse than one that was moderately funny. In my eyes that STILL puts it one or two notches above "Kicking and Screaming", or "Bewitched". Chross your fingers that "The Wedding Crashers" is a return to old school form (no pun intended) <br /><br />My Grade: D	neg
"Steve"(Chris Hoffman)gathers a group from high school for a reunion at the cabin location where his twin brother Wes went missing. While they are there, a reptilian creature in the shape of a man(reminded me a lot of the Gillman from CREATURE FROM THE BLACK LAGOON)awaits in the wilderness choosing the right time to pick them apart one by one. A biker, Ellen Ripley-type time female bad-ass, Kat(Chase Masterson)has an underground military bunker she practices experiments in, while it also serves as a place of safety from the thing on the bloody rampage. Kat knows more than she's telling(she also suffered the loss of a child), but there's another novelty twist most of the group have no idea of. This creature might just be more human than they realize..and it's former identity might shed some light on a deception only one other person has been hiding since Wes' death. Kat holds the key to many of the mysteries that unlock as the group remains near the cabin.<br /><br />Thankfully, a large portion of the film stays away from the creature which leaps in the air while we also see a hazy screen when we look through it's eyes. The film has Dawson's Creek-type melodramatics which often hinder any real tension that needs to build in a little monster movie. The direction is very bland leading to a relatively dull experience instead of eliciting scares. The cast is rather life-less and uninteresting. Pretty Maggie Grace(THE FOG remake) might be the only draw for this film.	neg
It took 9 years to complete this film. I would think that within those 9 years someone would have said,hey, this film is terrible. I've seen better acting in porn movies. The story is tired and played. Abused child turns into serial killer. How about something new for a change. How about abused child turns into a florist? At least that would have been a new twist. Why is it that everyone with a camera and a movie idea (especially unoriginal movie ideas) thinks that they can be a director? I do admire the fact that they stuck with this film for 9 years to get it completed. That shows tenacity and spirit. With this kind of drive hopefully next time they can focus it on a better script. If you want to see a failed experiment in indie film making from a writer/director from Michigan see Hatred of A Minute. If you want a good movie from a Michigan writer/director stick with Evil Dead.	neg
Its not the cast. A finer group of actors, you could not find. Its not the setting. The director is in love with New York City, and by the end of the film, so are we all! Woody Allen could not improve upon what Bogdonovich has done here. If you are going to fall in love, or find love, Manhattan is the place to go. No, the problem with the movie is the script. There is none. The actors fall in love at first sight, words are unnecessary. In the director's own experience in Hollywood that is what happens when they go to work on the set. It is reality to him, and his peers, but it is a fantasy to most of us in the real world. So, in the end, the movie is hollow, and shallow, and message-less.	neg
I bought this from Blockbuster for 99p. The guy behind the counter said the reason it was so cheap was because the disc was scratched to sh*t, but failed to mention that the reason it was so cheap was because the film was a p*ss poor effort that sucked harder than Paris Hilton in a hotel room home video. Talking of home videos, since when has it been fair game to release them as films - I mean to say, films used to employ actors and technicians and scriptwriters and so on - not any more - just gather your friends and lame-o ideas together for the weekend, lavish the production with an £8.00 budget, and get someone to fall down the stairs with a Casio keyboard (the soundtrack) - then slap it on the shelves, for some poor sap (me), to take home in lonely desperation. But here's the clincher - I fast forwarded through most of this, and tossed it to one side, ready for the hammers... until the next night, while watching a Darren Day horror 'Hellbreed' (£1.99 to take home and keep from a different Blockbuster). Now this film made 'Grim Weekend' look like The Exorcist, so I slapped Grim Weekend back on, to catch up on some of the moments listed on the wonderful IMDb boards, that viewers claimed were hilarious. Sure enough, once I had got over the misery, the pain, and the horror, of realising Grim Weekend was utter chod on toast, I could enjoy, savour, and downright get down to the funny stuff. And there's a lot of it. Check the boards. Then check the flick. Hell, it might even be worth it. AWWWWW CRAP!	neg
I'm sure that not many people outside of Australia have ever heard of the legend of Ned Kelly. I once saw a documentary about the man, but that's the only time I once saw or heard anything about him. And I guess that this might be the biggest problem this movie will have to face. No-one knows anything about it and probably not many people will care about the subject.<br /><br />The movie tells the story of Ned Kelly's life. The Irish immigrant has lived in north-west Victoria all his life, but has never been very welcome by the authorities. The police always accuses him of everything they can think of and they keep harassing his family. When Kelly is fed up with the way everything goes, he forms a gang with his brother and two other men. They start robbing banks and even hijack an entire town for 3 days. All this violence leads to a man hunt organized by the police and when they kill three policemen, they are outlawed. Finally they take over a pub in Glenrowan, where they have a party with all the visitors, waiting for a train full of police to derail at a part of the track that they tore up. But the train is able to stop in time because someone warns them and what will follow is a battle on life and death between the police and the four gunmen...<br /><br />It's very hard to tell whether all of what is shown in the movie is true or false. I guess nobody really knows, because there will always be two camps who will each tell their own truth: one camp says he was a hero, some kind of Robin Hood, the others will say he was an ordinary criminal, a murderer and a thief. I really couldn't tell you which of them is right, perhaps both are, but what I can tell you is that the facts in the movie as well as is the documentary were about the same.<br /><br />This movie was a nice addition to the documentary I once saw and I really enjoyed the performances of all the actors. Heath Ledger, Orlando Bloom, Naomi Watts, Geoffrey Rush are all actors who are pretty well known, but even the lesser known actors show in this production that they all know what good acting should look like. I really enjoyed this movie and I give it a 7.5/10	pos
*****Spoilers herein*****<br /><br />What really scares you? Killer sharks, or maybe ghosts trying to bring back a message? Maybe a chainsaw wielding psychopath?<br /><br />Maybe. But those fears don't even compare to a horror which people dare not even speak of or consider--and that is the death of one's own child. "Pet Sematary" taps this base, primal adult fear, and then takes it to places that most could not bear to explore.<br /><br />I've read comments about this film that include poor acting, characters making stupid decisions, etc. I disagree. The acting is actually first rate for a film like this. Maybe it is impossible for many to imagine the desperation resulting from such a scenario. But the film's events are not only logical, they may be absolutely inevitable if such a scenario were possible. This is the true horror of "Pet Sematary": It isn't that pets and people come back from the dead as evil killers who hunt with knives and scalpels, it is that anyone who has lost a child could become so desperate as to commit the crimes that Louis Creed does. Despite warning, or even past history.<br /><br />The movie takes those willing to go with it to the depths of a desperate human heart. The heart of a protector trying to make up for not being able to protect. And the results are horrifying. In fact, when the film dives into slasher territory near the end, it's almost a letdown, although I believe it's perfectly logical how it got there.<br /><br />I am a true horror fan, and I contend that this is one of the scariest horror films ever made. If you don't think so, see it again after you have children.	pos
Here is the example of a film that was not well received when it was made, but whose standing seems to be raising in time. 'The Tenant' is quite an interesting work by Polanski, one of the first of his European exile. It is set in Paris, and as in so many other exile films the city, its streets, the Seine and especially the building where the action takes place play an important role. It is just that Polanski chooses his principal character not to be an American (as in 'Frantic' for example) but a Pole, as himself was when going West. There is actually a lot of personal commentary in this film, made at what must have been a time of crisis in the director's life, and the fact that he decided to play the lead role (and does it masterfully) may also be seen as some kind of exorcism.<br /><br />It's in a way a circular story. The hero named Trelkovsky rents an apartment in old Parisian building, inhabited by what seem to be first a well assorted team of grumpy old or just ridiculous neighbors. The previous tenant tried to commit suicide by jumping out of the window of the flat, and Trelkovsky has just the time to visit her in the hospital before she dies and meet there her young and beautiful friend Stella (a spectacled Isabelle Adjani in her first role after Truffaut's 'L'histoire d'Adele H.'). Soon the neighbors do not seem to be what they are, it's a conspiracy to make him crazy, or to make him enter the life and role of the dead girl. He fights, tries to run, enters the game and ends by entering the circle and slowly becoming her. The circle is closed.<br /><br />It's not the most believable story we may have seen or heard, but the strength of the film does not reside in the story but in the details of the psychology, in the slow degradation of the mental state of the hero, in the permanent balancing game between reality and delusion. To a certain extent it is not what happens on the screen that matters, but how it happens, reminding the classical 'Knife in the Water' made more than a decade before, at the end of the Polish period of Polanski. There are many details that are never explained, but then this is how mystery films must be and this is actually how life is sometimes. The feeling of claustrophobia slowly contaminates the viewer. Unfortunately some of the graphical details in the last part of the film are not too well executed and the English spoken dialogs (the film was made in English) almost neutralize the overall atmosphere. However, waiting for the final punch scene is very worth the patience.<br /><br />It's not the best film that Polanski made, yet has many good parts, it shows the hand and the style of the director, and was a significant step in the building of his career.	pos
This is quite possibly the worst film I have ever seen. Worse than the most abhorrent American dross; worse than Glitter - Mariah Carey in American dross par excellence. I can only imagine that the writer and producer were taking huge amounts of recreational pharmaceuticals, and when discussing the plot actually thought it was a good idea. it's not. It is abject rubbish from very bowels of Satan himself (who could probably have written a better script had he put his mind to it). Robert Jones as Exce Producer, spending our tax payers money (lottery money folks) on this piece of nonsense, should be accountable. Who on earth thought it would be a good idea to re-make Deathline??? I ask you - camp as a Christmas Tree, Deathline ... 'Mind the doors' is classic of really bad British film, we really don't need a reminder. And we certainly don't need a poor, second rate, badly scripted, badly developed and badly piece of rubbish like this. All this this from the UK funding agency that brought us Sex Lives of the Potato Men... I rest my case.<br /><br />Do Not Pay ANY money to see this. It is absolute and utter crap - the one saving grace for the producers is that they got a huge wedge of cash... our cash... for making it. They should hang their heads in shame.<br /><br />I am staggered at the low, low standard of this film. It makes me Mgr that our national body for the support of film actually thought it was worth supporting. There is no hope for the British film industry whilst idiots are running the show. Harvey Wienstein where are you? Come back, we forgive you!!!	neg
The 12th animated Disney classic is a reasonable movie told through a simple story. Even though a little dated, it deserves a place in the list of Disney classics.<br /><br />It's not among Disney's top works, but is satisfying. One of Disney's most "simple" works, yes, but keeps a certain magic and enchantment (which old Disney is well known for). This was an important movie because it saved Disney from a delicate situation. If this was a failure, there wouldn't be any more Disney animated classics.<br /><br />"Cinderella" is somehow like a return to Disney's 1st animated classic ("Snow White and the Seven Dwarfs") because it brings back the fairy tale genre. It's not clear where the story takes place, but I suppose it's somewhere in France because this is based in a tale by Charles Perrault.<br /><br />There are plenty of likable characters, such as Cinderella, the Prince, Bruno (the dog), Jaques and Gus (the two main mice), the Fairy Godmother (for a fairy she sure is funny), the birds, the King and the Grand Duke.<br /><br />Jaques is very smart and amusing. I love his voice. Really has that mouse-like quality. Gus might not be that smart, but he's humorous.<br /><br />The King is hilarious, but I think that what makes him so funny is his short temper. The Grand Duke is a very cool chap and funny too. They're two of my favorite characters in this film and responsible for many of the most amusing moments.<br /><br />The Prince is certainly one of the most charming in Disney. No doubt that Prince Philip from "Sleeping Beauty" was inspired on this prince, because they are very similar-looking.<br /><br />On the other hand, Lady Tremaine (the stepmother) isn't supposed to be likable because she's cold, jealous, bitter and cruel. Her daughters (Anastacia and Drizella) aren't much better than her. However, the stepmother isn't as annoying as her ugly and selfish daughters. Cinderella, the main character, has nothing to do with them. Cinderella is gentle, kind, pretty and lovable. By the way, I think her beautiful pink dress is much nicer than the one given by the Fairy Godmother.<br /><br />Lucifer (the cat) is hilariously malicious. The way he walks, sticking up his nose in the air and those arrogant and snobbish facial expressions make him funny. Ironically he's very much like the stepmother when it comes to personality. He always agrees with the stepmother's attitudes towards Cinderella. Lucifer has the right name for him because he's such a devilish and mean cat. Yet, there's nothing annoying about him.<br /><br />The soundtrack is simple but pleasant, although not among Disney's best. The best song in this movie is "Bibiddi Bobiddi Boo".<br /><br />There are plenty of well known talented voice actors in this, such as James MacDonald, Marion Darlington, Eleanor Audley, Verna Felton and Luis Van Rooten.<br /><br />Despite being simple-looking, the movie has good artwork, as well as its nice details, although never something "out-of-this-world". However, the King's palace is a spectacular masterpiece, being truly majestic and colossal.	pos
