text	label
 spoilers i was very curious to see this film after having heard that it was clever and witty i had to stop halfway because of the unbearable boredom i felt the idea behind the film would have been acceptable: depicting the way the relationship between a man and a woman evolves through all the problems and difficulties that two people living in a big city can experience what made me dislike the whole film were two things first of all the film was so down-to-earth that it looked as if by describing the problems that a couple must solve on a day-to-day basis it became itself ordinary and dull secondly the overall sloppiness of the production with dialogues that were barely understandable too bad 	NEG
i just sat in the theater bored as hell i wanted to leave halfway through the movie the plot is simple samoan guys wreck weddings so they have to bring a dates in order to get into the wedding yawn the thing that peeved me off the most was the so-called crude jokes they were highly unfunny clichéd and thrown in your face to make you get into the already dull movie the acting was below-average and i felt this movie just went on and on about nothing but a bunch of unfunny jokes and a predictable plot all in all one of the worse movies i ve seen of unfunny bad acting just ugly well thank god a friend shouted me avoid 	NEG
this movie commits what i would call an emotional rape on the viewer the movie supposedly caused quite a stir among the critics in cannes but for me the final scene was just a pathetic attempt for a newbie director to get himself noticed hardly a voice in the discussion on the issue of violence drug abuse or juvenile delinquency or any other issue for that matter the main character s metamorphosis from good but troubled boy to the vicious rapist is virtually nonexistent whereas the rape scene being an over-dragged exaggerated version of the rape scene from a clockwork orange is unbearable and i refuse to comment on its aesthetic values there are some things an artist should not do to try and achieve his her goal at least in my opinion to wrap it up: shockingly brutal revolting and not worth your time see a clockwork orange or le pianiste instead 	NEG
i went to see this movie at our college theater thirty years ago because i liked bruce dern in silent running and family plot to this day sorry jack nicholson it is still the dullest movie i ve ever seen it just went on and on with no discernible point and then - it just ended the lights came up and i watched everyone looking around in confusion had the projectionist missed a reel i ve never had the urge to find out all i remember about the movie is that it was a non-drama about some annoying college basketball players and their coach the most enjoyable part of the movie was watching the totally mystified audience afterwords fortunately this was just an exception for jack bruce and karen black 	NEG
from the awful death scenes to guns that fire without making sounds to a character called the fiend it s all tiresome slow moving unimaginative drivel it was ok seeing the guy with the cape and the hunchback lurking around visually it was creepy and probably occupied the moviegoer of the time but even in one would think that there would have been a little more imagination and verisimilitude to even a film like this i just kept waiting for something to happen of any importance as people stood around making speeches and acting like they were posing at an office picnic and then there are those bullets as a previous commentator mentioned perhaps the best clue would have been to search for a water spot on someone s pants pocket 	NEG
spoilers first off nothing really happened in this movie other than a woman bleeding inexplicably second it wasn t scary third it had the worst soundtrack of any movie ever let me elaborate the sound was edited by either beavis or butthead  i m not sure which so let s just go with beavis the movie gradually gets more and more quiet and the people mumble and mutter forcing you to turn up the volume i watched this at home then beavis blasts some really loud sounds with supposedly scary shocking images forcing you to quickly lower the volume again this occurs many times until mercifully the movie ends i can picture beavis laughing vulgarly from behind the two-way mirror while watching the test group franticly reaching for the remote each time if you have children and prefer to watch scary movies after they fall asleep this one is a big mistake but then it s a big mistake anyway here s a thought  if you re going to make a horror movie at least add a gratuitous beheading a -year-old blond girl who screams at the top of her lungs just before she can take off her sweater the shadow on the wall of someone being eaten alive just out of the camera range a cat being thrown at the camera to scare the audience some drifty weirdo with a maniacal laugh or a monster who looks like a stage hand covered in aluminum foil a la tv s lost in space these people didn t even try to scare me they just wanted to hurt my ears 	NEG
okay so i went into this movie not really expecting much i figured an action flick similar to the fast and the furious some nice cars some nice girls somewhat of a decent plot unfortunately i would have to say that this was probably the worst movie i have seen this year don t get me wrong the cars were nice and the girls were ok but the way they put the movie together was just plain crappy to put it nicely the story just never made you care about the cast and the movie seemed just pieced together so overall this movie was not the worst thing ever by far but if your looking for a movie to go to this weekend i would pass on this one for now 	NEG
råzone is an awful movie it is so simple it seems they tried to make a movie to show the reel life just like zappa did many years ago but unfortunately denmark lacks good young actors leon are by many still the little girl in krummernes jul and laura is simply not good enough to play such an important role several times in the movie she plays with out soul and this is destroying the movie even though i consider it a movie you ought to see i do not agree that the youth are behaving like this but i think it can show how it can end if you are letting your child down also it is important to support danish movies and new companies like film folket all in all i think people should see råzone not because it is a great film but because it is a movies which is dealing with important themes i also think it is important to point out that there are some violent scenes in it and actually it is in these scenes laura is acting best - like the ending where she is holding the gun 	NEG
this is supposed to be well-researched and based on fact how come therefore that it s so packed with mcgovernisms did the people of derry live in some kind of bizarre philip k dick world in which reality was uncannily like cracker liam priest or is mcgovern an idle hack who just keeps repeating hims	NEG
hey if your going to make a documentary about leonard cohen try making it about leonard cohen this is filled with only enough leonard to anger the viewer who will be left wondering why they are listening to all these other singers some of them questionable talk about themselves puleeze sounds like them reliving their diary entries in junior high - who cares about you what about leonard guess what people if you do something worthy maybe someone will make a documentary about you i found particularly insulting the parading of u s members as if that would add credibility to this movie - not leonard doesn t need bono or the edge talking about his spirituality what would have been nice would have been for the filmmakers to embody some piece of his spirituality through the film gee what a concept i will give props to rufus wainwright and jarvis cocker for their covers of cohen tunes - the rest of the performances were a bore and some were unbearable cohen fans don t say i didn t warn you 	NEG
while it contains facts that are not widely reported it is not exactly the truth they took a lot of liberties in rearranging events excluding people and using sets that do not meet the facts of their lives in the s there were more than just bonnie clyde and w d in the gang at various times and those people had as much to do with the facts as those included buck and blanche went to convince clyde to go straight much earlier than the one shootout and in fact got drawn back into crime some of the events that were portrayed in daylight actually took place at night bonnie s wound was much more severe and never healed right it was so bad she had to be carried around by someone until it healed up and even then it stiffened up so she walked stiffly clyde also walked with a limp because while in prison he cut off a big toe i know i m being nit picky and it was a tv movie but even without these factual errors in this true story the movie moves too fast from event to event and comes across more as several separate snapshots of their lives rather than being a cohesive flowing story i d recommend reading a book or seeing a documentary if you want to get closer to the truth 	NEG
jimmy dean could not have been more hammy or absurdly loutish hysterical if viewed through the eyes of mystery science theatre which i rate as a i mean the sight of this obese corn-fed hog trouncing around malta should be enough to send you to the vomitory if you make it that far into the film this ugly hysterical farce should be placed with the likes of booty call pumpkinhead swarm and the smurfs go to bangladesh a -gulp- film like this proves that sometimes actors writers producers etc get behind on their mortgage or get stoned to the point of insanity it begs the question who was so stupid to finance such a whale but then had good judgment prevailed and final justice never was then we wouldn t have the delightful spoof voice-over in mystery science theatre 	NEG
well i m blowed a woody allen film that i walked out of after half an hour i m aware of the moral fragility of commenting on a film of which i ve seen less than half but i hope you ll understand why basically it became apparent very early on that we were going to be patronised from the screen with: a script that set out its conceit as if with bullet points; a cast that were all trying to be characters from hannah and her sisters with the exception of chloe sevigny and were badly directed into doing so; and a camera that sat around portentously only for there to be nothing to film but chat and the actor delivering it drama none; it s partially pre-narrated but the action does nothing to develop a dramatic situation maybe i did leave too early in this case but by then i d decided against another hour and a half of one-liner-allen clones the script has its funny moments  i went almost entirely on the back of will ferrell s excerpts in the trailer trailer-hooked again doh  but there s little pace to let them fly off nonchalantly as is best worse than this there s no fluidity saying this film s wooden makes a forest look like a jelly: the opening café-bound discussion being the most abject case-in-point the only thing that should be done by numbers is potted reviewing  	NEG
never saw the original movie in the series i only hope it was a much better movie than this or the sequel made in the s as if it is not how were these two terrible sequels even justified this movie had a really good lead in when they were advertising it to be shown on one of those old independent stations that are a thing of the past now anyways it looked like it would be a pretty good scary movie it was however a movie that would make some walt disney movies look dark really this movie was just a bunch of light fluff with virtually no boggy creek creature to be seen the only real sighting is near the end when you see its shape during a very heavy rainstorm other than that there is virtually no sign of the creature which was really disappointing as a kid the story is basically the old evil hunters must kill anything they see and are after the boggy creek creature and kids are out to help it or just some random hairy guy in the woods that likes to pull random boats through the water not really worth watching i would however like to see the original granted the maker of that would make the also bad boggy creature of the s but he also made a very good slasher movie in the s the town the dreaded sundown 	NEG
be warned: this movie tells lots of love stories without any coherence the only intention of this movie seems to be showing love in many different ways each story has only a few minutes so there is no development of characters and nearly no plot just an sketchy idea of a plot the writer tried to build in turning points that aimed to surprise the viewer however that just didn t work out because you didn t get to know the characters in before or these jokes were just silly this is a movie about love that fails to reach your heart a dozen times or even more i don t know and i don t care 	NEG
i think this is probably one of the worst movies i ve watched in a long time trying to get the same characters with different people is such a bad idea if they couldn t get sara michelle g and ryan p in this one they should have just cut their losses and said to heck with it instead they get new actors that are horrible at what they did i seriously felt like i was at a high school or bad college play with the lever of acting these people put forth where do they get some of these people was this their first movie it sure seemed like it this movie also parallels the original in a few lines of speech i had just got done watching the first one and popped # in i was all excited to get to watch the second one and it ended up being the worst show i ve seen in a while i don t hardly ever ever turn off a movie but this one definitely went off after about - min 	NEG
we bought this film from a shop called poundland we were looking for more inspiration as we have previously bought the film no big deal an remade it we expected this film to be badly inspirational so that we might remake it and put it on the tube however this was shocking boring is the main word that comes to mind the bad effects and script aren t enough to make you watch it the main woman s body seems to be whipped out at opportune moments in a pathetic attempt to keep the viewer interested however it just makes you wonder did they blow the budget getting her to take her clothes off if so i d have asked for a refund it looks like a homemade film the shots don t even correspond with each other and the camera work is so amateur it makes our remakes of bad movies look professional i cannot believe that this is being sold as a marketable product it is just boring and ugly to watch the actors are bad and there is no degree of professionalism about it there are no words to describe how terrible it is 	NEG
i really do fail to see the actual surplus value of this movie it s not bad enough to be hilarious there s no sleaze or gratuitous nudity although there was plenty of opportunity there s no gore there s no suspense in the first hour of the movie cause there s way to much scenes of tourist having a party and natives playing funky tribal music that last part was actually funny on many occasions: you see these natives hitting congas and jembés and that s indeed what you hear badly synchronized on the soundtrack but they also added this funky bass-line on the soundtrack so where was the bass-player at one point the natives get angry and start killing the tourists why all of the sudden it s supposed to be because the evil white men build this tourist complex which according to their myth awakened the wrath of the river-alligator-god i actually missed the explanation for that one but the natives did help for several months to build the tourist complex so why the sudden angriness and how in the hell did they manage to push the helicopter in the water it s all silly and pointless this movie also features the skinniest afro-american model i ve ever seen at one point our heroic leading couple visits this cave where a weird crazy old man lives the only point to that scene is that they make the shocking discovery that the killer-crocodile is actually an alligator crocodile or alligator what s the difference it s big it s made out of plastic and it eats people all the same to me the alligator is a rather silly creation it s very stiff & motionless and doesn t even flap its feet when it swims the eyes don t even move when they re shot in close-up i guess they didn t know animatronics back then in italy during there s also a lot of pointless inter-cut shots of the local wildlife i suspect it s stock footage like i said the first hour was pretty lame and the only reason i didn t switch off the movie was because my cat was asleep on my lap and i didn t want to wake the sweet thing but the last half hour of the movie did get better we finally get to see some action when the alligator swims through a horde of panicking people snapping its teeth and munching on them the most entertaining and at the same time funny scene is when alice and daniel drive a van over a bridge and it collapses we re looking at a matchbox-version of the van falling in the river here funny but nicely shot in fact there are several other nice traveling camera-moves surprisingly for this type of flick i was gonna point out some stupid details concerning the end of the movie but i don t wanna spoil it completely in case you do decide to watch this movie my advice is to stay away from it if you wanna see a decent alligator movie then see lewis teague s alligator i admit that one isn t italian and isn t a jaws rip-off but it certainly is more fun and if you re interested in other movies made by director sergio martino then i strongly recommend the highly entertaining : after the fall of new york that one s an over-the-top rip-off of every possible existing post-apocalyptic-future-of-doom-movie italians and rip-offs two words that go together very well 	NEG
 nat voiced by trevor gagnon along with his brainiac friend iq voiced by philip bolden and the always hungry scooter david gore are kids with big dreams they want to be the first flies in space and what encourages their dreams is the first spacecraft to land on the moon the apollo is waiting for its historic trip on the launch pad near where the three hang out the first thing you notice is the animation of the film i found it done very well done the scenery had depth to it as things in the distance actually looked like they were behind the focus of the scenes i didn t see the movie in -d as it was broadcast on hbo however i could see that there really wasn t any scenes which took advantage of the -d effects except a fight between characters near the end i also wasn t really impressed with the design of the characters to me they didn t look like anything resembling a fly especially in the coloring the flies were an unusual blue-gray that was kind of distracting to me the performances from the cast was not bad but it wasn t good either there were many times i focused more on my computer than the story the writing was certainly written for a younger audience with comedic moments that will make younger kids laugh i saw nothing for adults like jokes that they ll get the punchline for the adults to understand the meaning history was not followed in this film in fact i think it was completely ignored as the main focus was the flies i also hated when a well known astronaut popped up on the screen and explained that the stories about the flies in the film was a work of fiction and no flies were on apollo i did like how he thanked the men and women who sacrificed their lives for space exploration though if you are an adult this is not for you it was not made for the entire family this is certainly just for kids but save this one for a rainy day 	NEG
i sort of accidentally ended up watching this movie i m still not sure if i regret it or not i felt like i was watching the film made by that group of film school students that didn t quite make the cut it plays up every hollywood cliché imaginable all the while flogging us with the corporations are the ultimate evil message subtlety this movie does not know as far as that goes it even manages to provide it s own spoilers the story appears to be a computer nerd s fantasy world come true the lead character is an attractive teenage boy with a girlfriend yet is a programming genius and apparent hacker i think among many other nerd-fantasy-come-true elements that you ll have to see for yourself as well i should ve known it would be a z-movie when i saw ned bellamy he tends to be a good tip-off can t recommend this one i m afraid 	NEG
this film had such promise what a great idea an underdog paintball team struggling for recognition and personal glory only to lose it s speed due to bad dialoge poor editing and a half-written story the characters in the beginning were interesting only to lose steam half way through to become one dimensional people sputtering out tired one-liners maybe if they spent some more time on the story and dialoge it would have been a great movie instead of a almost afterthought effort 	NEG
i m basing this on my observations of one episode i saw last night i don t think i ll be watching again the acting was totally wooden the plot completely predictable the ending totally unrealistic -- i mean who would believe a million dollar judgment for the death of a recovering drug addict with terminal cancer the lead actor victor garber seemed so uncomfortable almost embarrassed in his role -- perhaps he realized how bad the writing was i fully realize that the drama offered this season is pretty poor but they can surely find better writers maybe they are outsourcing the writing to india or china i ll bet we won t be seeing this one next season 	NEG
forbidden siren is based upon the siren playstation so many s game like most video game turned movies i would say the majority don t translate into a different medium really well and that goes for this one too painfully there s a pretty long prologue which explains and sets the premise for the story and the mysterious island on which a writer leo morimoto and his children daughter yuki yui ichikawa and son hideo jun nishiyama come to move into the villagers don t look all too friendly and soon enough sound advice is given about the siren on the island to stay indoors once the siren starts wailing naturally and slowly things start to go bump and our siblings go on a mission beating around the bush to discover exactly what is happening on this unfriendly island with its strange inhabitants but in truth you will not bother with what s going on as folklore and fairy tales get thrown in to convolute the plot even more what was really pushing it into the realm of bad comedy are its unwittingly ill-placed-out-of-the-norm moments which just drew pitiful giggles at its sheer stupidity until it s explained much later it s one thing trying to come up and present something smart but another thing doing it convincingly and with loopholes covered despite it clocking in under minutes - i think it s a horror movie phenomenon to have that as a runtime benchmark - it gives that almost two hour feel with its slow buildup to tell what it wants to things begin to pick up toward the last minutes but it s a classic case of too little too late what saves the movie is how it changes tack and its revelation at the end again this is a common device used to try and elevate a seemingly simple horror movie into something a little bit extra in the hope of wowing an audience it turned out rather satisfactorily but leaves a bad aftertaste as you ll feel cheated somewhat there are two ways a twist will make you feel - it either elevates the movie to a memorable level or provides you with that hokey feeling unfortunately forbidden siren belonged more to the latter the saving grace will be its cinematography with its use of light shadows and mirrors but i will be that explicit - it s still not worth the time so better to avoid this 	NEG
i m sure this was one of those woah attractions in when epcot opened but now it s just silly the film s message is cliché the circle-vision is disorienting and that awful song at the end is grating and i really wish they d install seats after so much walking all you want to do is sit down for a few minutes and when you hear there s a film to see it sounds pretty glamorous you get entertained while sitting down right wrong you re standing there for + minutes leaning against a short little railing disney should make a newer maelstrom like attraction to liven things up and replace this dull lackluster film not fun skip it in fact skip canada altogether unless you re eating there move directly to the united kingdom 	NEG
karen bobbie phillips mentions after one of her kids gets out of hand with his lame annoying jokes that she ll never survive this trip boy is she ever on the money karen is a school teacher taking her group of kids from the shepley college of historical studies to the butt ugly locale of a run-down manor in the major dung-heap of ireland surely there are places in this country more appeasing to the senses than this the caretaker of the manor gary simon peacock warns karen and her students to stay on the path and not to stray into the forest there s a myth regarding the sawney bean clan a ritualistic druid cannibalistic inbred family celebrate samhain the end of summer october st feast of the dead where sacrifices are needed to appease the spirits gary is supposedly clairvoyant his cousin pandora ginger lynn allen tells us because he was born on samhain funny because he sure doesn t see outcomes well or even give advice accurately nearly everyone dies even those who never stray from the path and he doesn t even see his own gruesome fate what this monster we hear breathing is a victim of way too much inbreeding it s face resembles a malformed mushroom and it looks like a hideous reject from a mad max picture it doesn t take long before the evil breeder is killing everyone paul howard rosenstein is karen s love interest who made the wrong decision coming to ireland without his girlfriend s prior knowledge horrible formula slasher doesn t stray from the norm it s minuscule budget shows loudly and the characters are assembly line clichés churned out yet again to be slaughtered in the usual gory ways most of the violence flashes across the screen quickly with not much dwelling on the breeder s acts of death towards his victims lots of guts get pulled out during the fast edit cuts as one scene whisks to another seeing gillian leigh s gorgeous naked body for a moment or two isn t incentive enough to recommend it phil price has the really irritating trickster character steve often shedding bad jokes how he is able to get leigh s barbara naked in the shower for some action is anyone s guess because i have no reason why he d stand a chance with such a hottie brandi-ann milbrant has the fortunate role of shae the quiet virgin smart girl who is also quite hot who we know will be the one chosen by the screenplay to survive jenna jameson drops by long enough to get her heart cut out of her chest at least we see her breasts momentarily before her chest is opened up with a few minor lines about two missing friends she s looking for the film s main problem is that the story and character development grinds to a halt because it s realized that none of them are at all interesting so director christian viel just lets loose his monster to run rampant causing carnage obliterating an entire cast almost in one fail swoop within ten minutes oh and richard grieco has a minor opening cameo as a victim who strayed off the path to tent camp with his chick 	NEG
if you are planning to rent or buy this movie don t it s the worst thing i have ever seen i would comment on it more but it has been years since i saw it and have blanked all of it from my mind save yourself some time money and well being and stay far far away 	NEG
this movie was so bad i couldn t sit through it without doing something else there was no plot and no point i was thoroughly bored and for a film about a stand up comedian i couldn t recall one joke or funny line worthy of the description politicians with no charisma speaking technical jargon could not be less entertaining so how was this made is there no quality control in film watching the girls in bikinis was the only distraction during this horrible experience it s hard to imagine that adam sandler who has become popular and has appeared in fine comedies was able to survive after this kind of exposure he was not funny in the least in this movie so it proves that the writing is so vital in effective comedy 	NEG
this film has its share of negative comments and i have to agree with those who consider it one of the worst movies ever made true most of the films based on the works of king are pretty bad but this one goes beyond bad into the realm of horrible there is not one scary moment in it unless you consider stupidity scary it is typical king garbage -- myths twisted around that made no sense in the first place mixed with obvious and belabored so-called scares that are about as shocking as peewee s playhouse which at least is entertaining it is full of ridiculous moments not the least of which is alice krige s character when she goes on a rampage and starts quipping like the villain in an old batman tv show it is so absurd as to be sickening all the people who had cameos in this including john landis are lucky they still have careers but the most absurd part has to be the cat costumes towards the end which look like cheap rubber outfits someone bought at k-mart the best part of the movie is the appearance of some real cats who actually out-act the people in the movie 	NEG
i was not impressed about this film especially for the fact that i went to the cinema with my family in good faith to see a film which was certificate rated a here in the uk to my dismay this film was full of embarrassing sexual jokes which is not a problem to me as an adult but not good for watching with children this film at times was very crude at times with fart jokes getting hit in the groin etc and for the most part of the film not very funny the premise of the film is that calvin sims who is a inch midget gets out of jail and steals a giant sized diamond but is then forced to put it in a womens handbag so the rest of the movie sees him passing himself off as an abandoned baby getting into this womens house so he can get this diamond back up until now i have enjoyed most of the output from the wayans brothers - but this film is certainly taking the biscuit a bit of good advice - wait till it comes on tv or cable	NEG
first of all yes i m white so i try to tread lightly in the ever delicate subject of race anyway white people hating black people = bad but black people hating white people = ok because apparently we deserved it where do i start i wish i had something good to say about this movie aside unintended comedy scenes: the infamous scene were ice cube and co get in a fight with some really big really strong really really angry and scary looking neo-nazis and win the neo-nazi where twice the size : and the chase the chase is priceless this is not a movie about race tolerance and understanding it doesn t deliver this is a racist movie that re-affirm all the cliché stereotypes the white wimpy guy who gets manhandled by his black roommate automatically transform in a skinhead cmon simply awful i do regret ever seeing it save your time and the dreadful experience of a poorly written poorly acted dull and clearly biased picture if you are into the subject go and rent american history x now thats a movie	NEG
humphrey bogart clearly did not want to be in this film and be forced to play a part-mexican or he would have been suspended believe me he made the wrong choice presumably after the success of dodge city warners tried a follow-up with errol flynn and his usual list of buddies like alan hale guinn big boy williams frank mc hugh and the ever-present john litel but they made the huge mistake of trying to present miriam hopkins as a love interest for flynn v randolph scott and as a singer to really make things bad because she proved one thing and that is she cannot sing the story was not too bad but with bogie clearly miscast also it turned out to be a poor western that was overlong and on a low budget but in fairness color would not have helped 	NEG
the rookie suffers from so much there are the random musical songs interspersed through the movie the long pointless script and enough grating slapstick to make jerry lewis blush noonan and leavitt just don t know when to quit it takes a full hour before the story finally gets to the main plot and the characters are shipwrecked then the guys start playing japanese sailors with the standard racist caricature of the day it is a shame the funniest parts of the movie are when noonan and leavitt are playing the stupid stereotyped japanese guys but it gets pretty tiring after switching back and forth between two sets of characters then it just abruptly ends even a naked julie newmar in a towel can t save this one there is really little charm in the movie and it is over a half hour too long the story just flounders along trying to set up funny situations and failing stick to martin & lewis at least deano had charm and jerry had that animated face 	NEG
